thick,crossplane,y,x,r,temp
3.1492908488715824e-09,1.2760316958672422,1,1,0.6,500
4.024555790941793e-09,1.4035446797184878,1,1,0.6,500
5.045933683846244e-09,1.5359403347090899,1,1,0.6,500
6.311196820437514e-09,1.6689149680740063,1,1,0.6,500
7.962700585209042e-09,1.8455750629233723,1,1,0.6,500
9.922204988818854e-09,1.9943146844683848,1,1,0.6,500
1.2618106027414691e-08,2.1623521929799403,1,1,0.6,500
1.591826663382699e-08,2.347312931979403,1,1,0.6,500
1.9943334929509084e-08,2.535126947976142,1,1,0.6,500
2.507853593171972e-08,2.7490609128640497,1,1,0.6,500
3.1667705643314117e-08,2.970619810089407,1,1,0.6,500
3.984535778710148e-08,3.2081454163660803,1,1,0.6,500
5.0169129442087495e-08,3.437701396872091,1,1,0.6,500
6.307821070540847e-08,3.689408655098492,1,1,0.6,500
7.94413651259469e-08,3.9512056573438086,1,1,0.6,500
9.996010760254192e-08,4.234408560964201,1,1,0.6,500
1.258859600284935e-07,4.51120911263845,1,1,0.6,500
1.584197646107945e-07,4.795292737187616,1,1,0.6,500
1.9950237250821027e-07,5.10009704280815,1,1,0.6,500
2.512099388199418e-07,5.402084916733859,1,1,0.6,500
3.161527864054512e-07,5.720505756657232,1,1,0.6,500
3.980564929711437e-07,6.020898102721693,1,1,0.6,500
5.011874016054298e-07,6.292469467284189,1,1,0.6,500
6.310011204107751e-07,6.598558627412041,1,1,0.6,500
7.942713292337e-07,6.883441162711159,1,1,0.6,500
9.999735824661405e-07,7.154427243899414,1,1,0.6,500
1.258873155709295e-06,7.427344792678255,1,1,0.6,500
1.5849016012230014e-06,7.666873277745226,1,1,0.6,500
1.9952396579460377e-06,7.8892091902779145,1,1,0.6,500
2.511806025225895e-06,8.081474843518714,1,1,0.6,500
3.162265528638544e-06,8.269147537902269,1,1,0.6,500
3.981078627051672e-06,8.425787615671037,1,1,0.6,500
5.0118719728322054e-06,8.557828558920024,1,1,0.6,500
6.3094957458087865e-06,8.67465934564364,1,1,0.6,500
7.943307010963271e-06,8.785824844910698,1,1,0.6,500
9.999969854572743e-06,8.845060850973525,1,1,0.6,500
1.2589370040342031e-05,8.928433820730016,1,1,0.6,500
1.5848881221426374e-05,8.997814480901296,1,1,0.6,500
1.9952669916405947e-05,9.035899272530408,1,1,0.6,500
2.511882315487681e-05,9.059194715925642,1,1,0.6,500
3.162284477717114e-05,9.098406411915654,1,1,0.6,500
3.9810797119295565e-05,9.13575221793832,1,1,0.6,500
5.011874728639332e-05,9.132247108228029,1,1,0.6,500
6.30956893385024e-05,9.170874357540466,1,1,0.6,500
7.943277517707523e-05,9.192863834460063,1,1,0.6,500
0.00010000001463365843,9.170949823894635,1,1,0.6,500
1.2493777840951143e-09,0.7940977180769816,2,2,0.6,500
1.607826089174391e-09,0.9098224672051723,2,2,0.6,500
1.9403335690145595e-09,1.0175467975910844,2,2,0.6,500
2.5461631496312267e-09,1.1185045698834548,2,2,0.6,500
3.0803903242801155e-09,1.220875365768321,2,2,0.6,500
3.908335348665592e-09,1.3491408316342752,2,2,0.6,500
5.047596712973588e-09,1.456238063101355,2,2,0.6,500
6.368542316025995e-09,1.5929556761757404,2,2,0.6,500
8.014612658659966e-09,1.7449474054292224,2,2,0.6,500
9.980170707896262e-09,1.8872639968767508,2,2,0.6,500
1.2560413043381951e-08,2.0412550848307585,2,2,0.6,500
1.591285588707673e-08,2.2046553531569884,2,2,0.6,500
2.0022119877095825e-08,2.3832209774544397,2,2,0.6,500
2.5170021206309174e-08,2.5534416594829628,2,2,0.6,500
3.160899397966174e-08,2.7399312690356337,2,2,0.6,500
3.982152833298298e-08,2.932552599040148,2,2,0.6,500
5.017737561155579e-08,3.1456982915301306,2,2,0.6,500
6.314996216039392e-08,3.344950845572606,2,2,0.6,500
7.9371966153186e-08,3.5747766440447877,2,2,0.6,500
9.999544151868272e-08,3.8072677329789344,2,2,0.6,500
1.2586574576813426e-07,4.020768300992719,2,2,0.6,500
1.5853349386374056e-07,4.255925862310292,2,2,0.6,500
1.9946932365637682e-07,4.510083906113658,2,2,0.6,500
2.5125298411885455e-07,4.766406544326071,2,2,0.6,500
3.1616835816476287e-07,4.994540499168586,2,2,0.6,500
3.9804518284505887e-07,5.240905511647591,2,2,0.6,500
5.011449780128855e-07,5.487131992072323,2,2,0.6,500
6.309783432929024e-07,5.735805690374173,2,2,0.6,500
7.943577443207526e-07,5.963485988813082,2,2,0.6,500
9.999815332470503e-07,6.200065521248556,2,2,0.6,500
1.258908173827434e-06,6.399211605690673,2,2,0.6,500
1.5849288158819922e-06,6.598957334633393,2,2,0.6,500
1.9953125615953184e-06,6.80094208991697,2,2,0.6,500
2.511870806795325e-06,6.954670017592118,2,2,0.6,500
3.162286893171077e-06,7.104652848709054,2,2,0.6,500
3.981068886317927e-06,7.236568125107643,2,2,0.6,500
5.011843296555042e-06,7.375294355967532,2,2,0.6,500
6.30956004493415e-06,7.449527877975702,2,2,0.6,500
7.943329106279623e-06,7.547213538640302,2,2,0.6,500
9.999983998742085e-06,7.611508342305274,2,2,0.6,500
1.2589339739519653e-05,7.68271891510838,2,2,0.6,500
1.5848909053868037e-05,7.724540078627249,2,2,0.6,500
1.9952601144179928e-05,7.780162808735867,2,2,0.6,500
2.5118837637205754e-05,7.799091494022334,2,2,0.6,500
3.1622733438122e-05,7.843230638381568,2,2,0.6,500
3.9810800449503094e-05,7.840239518961583,2,2,0.6,500
5.011872794922892e-05,7.857308681936105,2,2,0.6,500
6.309578274072603e-05,7.87129847141445,2,2,0.6,500
7.943277470056107e-05,7.88523292017713,2,2,0.6,500
9.999996045522372e-05,7.888655480897256,2,2,0.6,500
1.3386343239847461e-09,0.7265889961227634,1,2,0.3,300
1.6453018079570627e-09,0.8320503218755322,1,2,0.3,300
1.9668879010317785e-09,0.9191281802448387,1,2,0.3,300
2.3916165202436625e-09,1.0280767467223195,1,2,0.3,300
3.079607104117505e-09,1.1502362089383065,1,2,0.3,300
3.931900541607813e-09,1.261039686267907,1,2,0.3,300
4.92836885357992e-09,1.374142774526695,1,2,0.3,300
6.2736817968819815e-09,1.501895896292759,1,2,0.3,300
7.96881682072128e-09,1.6130957237329104,1,2,0.3,300
9.896628251156432e-09,1.7628268857465463,1,2,0.3,300
1.2566414771536846e-08,1.938059948074127,1,2,0.3,300
1.5851250687617708e-08,2.068256148039603,1,2,0.3,300
1.9934638649170802e-08,2.264977919053191,1,2,0.3,300
2.515238599364744e-08,2.395837881024923,1,2,0.3,300
3.164626406176363e-08,2.606767828558356,1,2,0.3,300
3.994693364067233e-08,2.7825119224478776,1,2,0.3,300
5.005378425630267e-08,3.005931490726646,1,2,0.3,300
6.301826776167487e-08,3.216900874131334,1,2,0.3,300
7.939144999981215e-08,3.4560083533844006,1,2,0.3,300
9.996656021927973e-08,3.6765909233995235,1,2,0.3,300
1.2590646374886887e-07,3.927553436122576,1,2,0.3,300
1.5846613712979886e-07,4.173698285722048,1,2,0.3,300
1.9955045386261765e-07,4.438783363424025,1,2,0.3,300
2.5123101198419624e-07,4.7347521404323585,1,2,0.3,300
3.161434487849503e-07,4.982420680606898,1,2,0.3,300
3.980552832497439e-07,5.2926638990849,1,2,0.3,300
5.011080729856953e-07,5.579259357539103,1,2,0.3,300
6.309090434524126e-07,5.873820524171191,1,2,0.3,300
7.943399467932406e-07,6.168868114464745,1,2,0.3,300
9.999895456506308e-07,6.4499420483044085,1,2,0.3,300
1.2588995894851443e-06,6.745939595264065,1,2,0.3,300
1.5847767144057348e-06,7.003105003701905,1,2,0.3,300
1.995164749725135e-06,7.317896694452549,1,2,0.3,300
2.5119527949982867e-06,7.548060155671558,1,2,0.3,300
3.1622782601102093e-06,7.764864263697426,1,2,0.3,300
